domain,count,popularity,domain_length,is_common_provider,has_numbers,is_common_tld,entropy,has_suspicious_keyword,suspected_scalper
rice.cloudns.asia,5,0.0008426019548365353,17,0,0,0,3.4992275471326932,0,0
qq.com,633,0.10667340748230536,6,1,0,1,2.2516291673878226,0,0
hotmail.com,1615,0.27216043141220086,11,1,0,1,3.0957952550009344,0,0
gmail.com,1175,0.19801145938658576,9,1,0,1,2.94770277922009,0,0
163.com,158,0.026626221772834514,7,1,1,1,2.807354922057604,0,0
126.com,36,0.006066734074823054,7,1,1,1,2.807354922057604,0,0
ouhuang666.com,32,0.005392652510953826,14,0,1,1,3.182005814760214,1,1
outlook.com,826,0.13919784293899562,11,1,0,1,2.7321588913645707,0,0
icloud.com,307,0.051735760026963264,10,1,0,1,2.9219280948873623,0,0
issacleee.com,11,0.0018537243006403776,13,0,0,1,3.0269868333592873,0,0
cisd.com.hk,1,0.00016852039096730705,11,0,0,0,3.0957952550009344,0,0
ryanchan.info,4,0.0006740815638692282,13,0,0,0,3.180832987205441,0,0
hktimesquare.com,10,0.0016852039096730705,16,0,0,1,3.75,0,0
ymail.com,9,0.0015166835187057635,9,0,0,1,2.94770277922009,0,0
cocomarshy.cc,78,0.01314459049544995,13,0,0,0,2.9312089489103235,1,1
damowangpiaowu.com,27,0.00455005055611729,18,0,0,1,3.419381945646371,1,1
hkboardway.com,36,0.006066734074823054,14,0,0,1,3.521640636343319,0,0
szqhjy.cn,1,0.00016852039096730705,9,0,0,0,3.169925001442312,0,0
hkusurvery.com,8,0.0013481631277384564,14,0,0,1,3.521640636343319,0,0
zwjtk.com,1,0.00016852039096730705,9,0,0,1,3.169925001442312,0,0
yahoo.com.hk,154,0.025952140208965285,12,0,0,0,2.8553885422075336,0,0
kenhoemail.com,16,0.002696326255476913,14,0,0,1,3.3787834934861767,0,0
foxmail.com,17,0.0028648466464442197,11,0,0,1,3.0957952550009344,0,0
guohuchenggong.com,23,0.003875968992248062,18,0,0,1,3.0168756957665637,0,0
yorklohshoes.com,65,0.010953825412874959,16,0,0,1,3.25,1,1
hellozlc.fun,29,0.004887091338051905,12,0,0,0,3.188721875540867,1,1
douxing123.com,36,0.006066734074823054,14,0,1,1,3.6644977792004623,1,1
livihk.com,14,0.0023592854735422987,10,0,0,1,3.121928094887362,0,0
doggy.pink,24,0.004044489383215369,10,0,0,0,3.121928094887362,0,0
ricksin.shop,5,0.0008426019548365353,12,0,0,0,3.2516291673878226,0,0
ln.hk,1,0.00016852039096730705,5,0,0,0,2.321928094887362,0,0
jackhoemail.com,24,0.004044489383215369,15,0,0,1,3.373557262275185,0,0
yahoo.com,51,0.008594539939332659,9,1,0,1,2.6416041678685933,0,0
hkyeezy.com,70,0.011796427367711493,11,0,0,1,3.095795255000934,1,1
advyc.com,8,0.0013481631277384564,9,0,0,1,2.94770277922009,0,0
vip.qq.com,4,0.0006740815638692282,10,0,0,1,2.921928094887362,0,0
hurtsobad.com,12,0.0020222446916076846,13,0,0,1,3.5465935642949384,0,0
mreggeater.com,11,0.0018537243006403776,14,0,0,1,3.039148671903071,0,0
fwardk.com,7,0.0011796427367711494,10,0,0,1,3.321928094887362,0,0
um.edu.mo,1,0.00016852039096730705,9,0,0,0,2.5032583347756456,0,0
siupigpig.com,3,0.0005055611729019212,13,0,0,1,3.0269868333592873,0,0
kakalam.com,30,0.005055611729019211,11,0,0,1,2.663532754804255,1,1
ditto0821.com,18,0.003033367037411527,13,0,1,1,3.3927474104487847,0,1
geniusbar.org,3,0.0005055611729019212,13,0,0,1,3.3927474104487847,0,0
mail.com,1,0.00016852039096730705,8,0,0,1,2.75,0,0
139.com,6,0.0010111223458038423,7,0,1,1,2.807354922057604,0,1
ouhuang6666.com,36,0.006066734074823054,15,0,1,1,3.1068905956085184,1,1
sparksonlab.com,1,0.00016852039096730705,15,0,0,1,3.506890595608518,0,0
arboatltd.com,33,0.005561172901921132,13,0,0,1,3.238901256602631,0,0
nchbryan.com,4,0.0006740815638692282,12,0,0,1,3.2516291673878226,0,0
meowmiu123.com,2,0.0003370407819346141,14,0,1,1,3.3248629576173574,0,1
naver.com,1,0.00016852039096730705,9,0,0,1,3.169925001442312,0,0
hkusthall.com,3,0.0005055611729019212,13,0,0,1,3.3927474104487847,0,0
octoberzac.com,11,0.0018537243006403776,14,0,0,1,3.128085278891395,0,0
prohktech.com,2,0.0003370407819346141,13,0,0,1,3.238901256602631,0,0
hkticketcat.com,5,0.0008426019548365353,15,0,0,1,3.1395722619867223,1,1
pleasurepoint.store,1,0.00016852039096730705,19,0,0,0,3.4713544870139286,0,0
kokailam.com,23,0.003875968992248062,12,0,0,1,2.9182958340544896,0,0
connect.hku.hk,4,0.0006740815638692282,14,0,0,0,3.09306920777189,0,0
cokcncpt.com,26,0.004381530165149983,12,0,0,1,2.751629167387823,0,0
hksamsung.com,2,0.0003370407819346141,13,0,0,1,3.3927474104487847,0,0
link.cuhk.edu.hk,2,0.0003370407819346141,16,0,0,0,3.1556390622295662,0,0
lcwhk.com,1,0.00016852039096730705,9,0,0,1,2.94770277922009,0,0
msn.com,9,0.0015166835187057635,7,0,0,1,2.5216406363433186,0,0
live.cn,2,0.0003370407819346141,7,0,0,0,2.807354922057604,0,0
wingsingtele.com,1,0.00016852039096730705,16,0,0,1,3.5,0,0
ponytw.com,14,0.0023592854735422987,10,0,0,1,3.121928094887362,0,0
mtrtrainhk.com,3,0.0005055611729019212,14,0,0,1,3.3787834934861767,0,0
zzjih.com,7,0.0011796427367711494,9,0,0,1,2.94770277922009,0,0
doubleness.com,1,0.00016852039096730705,14,0,0,1,3.378783493486176,0,0
me.com,7,0.0011796427367711494,6,0,0,1,2.2516291673878226,0,0
latkt.com,8,0.0013481631277384564,9,0,0,1,2.94770277922009,0,0
gangchi.tv,1,0.00016852039096730705,10,0,0,0,3.121928094887362,0,0
aahk.cc,2,0.0003370407819346141,7,0,0,0,2.2359263506290326,0,0
qq.cim,1,0.00016852039096730705,6,0,0,0,2.2516291673878226,0,0
galilei-global.com,1,0.00016852039096730705,18,0,0,1,3.2810361125534233,0,0
yeah.net,2,0.0003370407819346141,8,0,0,1,2.75,0,0
ap0803.com,1,0.00016852039096730705,10,0,1,1,3.121928094887362,0,1
kobesoul.shop,2,0.0003370407819346141,13,0,0,0,3.180832987205441,0,0
wahfung.hk,1,0.00016852039096730705,10,0,0,0,3.121928094887362,1,1
uci.edu,1,0.00016852039096730705,7,0,0,1,2.5216406363433186,0,0
sina.com,4,0.0006740815638692282,8,0,0,1,3.0,0,0
protonmail.com,3,0.0005055611729019212,14,0,0,1,3.3248629576173574,0,0
gmx.com,1,0.00016852039096730705,7,0,0,1,2.5216406363433186,0,0
nyu.edu,1,0.00016852039096730705,7,0,0,1,2.5216406363433186,0,0
onecool.com.hk,1,0.00016852039096730705,14,0,0,0,2.950212064914747,0,0
yahoo.com.tw,3,0.0005055611729019212,12,0,0,0,3.0220552088742,0,0
live.hk,7,0.0011796427367711494,7,0,0,0,2.807354922057604,0,0
hkbn.net,1,0.00016852039096730705,8,0,0,1,2.75,0,0
feliciamo.com,5,0.0008426019548365353,13,0,0,1,3.085055102756477,0,0
sdyida.com,1,0.00016852039096730705,10,0,0,1,3.121928094887362,0,0
octobersneakers.com,5,0.0008426019548365353,19,0,0,1,3.43162356584743,1,1
masonlive.gmu.edu,1,0.00016852039096730705,17,0,0,1,3.6168746059562227,0,0
vipre.com.hk,1,0.00016852039096730705,12,0,0,0,3.418295834054489,0,0
myyahoo.com,1,0.00016852039096730705,11,0,0,1,2.663532754804255,0,0
stu.xmu.edu.cn,1,0.00016852039096730705,14,0,0,0,3.128085278891395,0,0
qmdamc.com,1,0.00016852039096730705,10,0,0,1,2.6464393446710153,0,0
live.com,2,0.0003370407819346141,8,0,0,1,3.0,0,0
macau.ctm.net,1,0.00016852039096730705,13,0,0,1,2.931208948910323,0,0
mail.mcu.edu.tw,1,0.00016852039096730705,15,0,0,0,3.3232314287976203,0,0
ha.org.hk,1,0.00016852039096730705,9,0,0,0,2.725480556997868,0,0
asiametalsvc.com,1,0.00016852039096730705,16,0,0,1,3.327819531114783,0,0
connect.ust.hk,2,0.0003370407819346141,14,0,0,0,3.2359263506290334,0,0
we4money.com,7,0.0011796427367711494,12,0,1,1,3.0849625007211556,0,1
colliers.com,1,0.00016852039096730705,12,0,0,1,3.084962500721156,0,0
gamil.com,1,0.00016852039096730705,9,0,0,1,2.94770277922009,0,0
hotmail.com.hk,4,0.0006740815638692282,14,0,0,0,3.2359263506290334,0,0
boclifeus.com,1,0.00016852039096730705,13,0,0,1,3.3927474104487847,0,0
mail.sustech.edu.cn,1,0.00016852039096730705,19,0,0,0,3.5766176449086653,0,0
rocketmail.com,1,0.00016852039096730705,14,0,0,1,3.378783493486176,0,0
quintessentially.com,1,0.00016852039096730705,20,0,0,1,3.721928094887362,0,0
cyberery.ml,10,0.0016852039096730705,11,0,0,0,2.9139770731827523,0,0
costacoffee.com,1,0.00016852039096730705,15,0,0,1,3.0062389286533895,0,0
outlook.com.au,1,0.00016852039096730705,14,0,0,0,2.950212064914747,0,0
dingtalk.com,1,0.00016852039096730705,12,0,0,1,3.584962500721156,0,0
hku.hk,1,0.00016852039096730705,6,0,0,0,1.9182958340544893,0,0
edmundwo.com,1,0.00016852039096730705,12,0,0,1,3.084962500721156,0,0
formabrands.com,1,0.00016852039096730705,15,0,0,1,3.3735572622751846,0,0
archsd.gov.hk,1,0.00016852039096730705,13,0,0,0,3.3927474104487847,0,0
gpartnersfinance.com,1,0.00016852039096730705,20,0,0,1,3.6841837197791887,0,0
ouotlook.com,1,0.00016852039096730705,12,0,0,1,2.617492461184755,0,0
yahoo.ca,1,0.00016852039096730705,8,0,0,0,2.5,0,0
kaikakaws.com,1,0.00016852039096730705,13,0,0,1,2.9689185639620974,0,0
geocities.com,1,0.00016852039096730705,13,0,0,1,3.0850551027564768,0,0
elegantwatch.net,1,0.00016852039096730705,16,0,0,1,3.1556390622295662,0,0
rocticketing.com,1,0.00016852039096730705,16,0,0,1,3.327819531114783,1,1
yahoo.co.jp,1,0.00016852039096730705,11,0,0,0,2.8453509366224368,0,0
akugu.com,1,0.00016852039096730705,9,0,0,1,2.94770277922009,0,0
tom.com,1,0.00016852039096730705,7,0,0,1,2.2359263506290326,0,0
manulife.com,1,0.00016852039096730705,12,0,0,1,3.418295834054489,0,0
nuskin.com,1,0.00016852039096730705,10,0,0,1,3.121928094887362,0,0
189.cn,1,0.00016852039096730705,6,0,1,0,2.584962500721156,0,1
yomee.cn,1,0.00016852039096730705,8,0,0,0,2.75,0,0
skymaxco.com,1,0.00016852039096730705,12,0,0,1,3.084962500721156,0,0
my.cityu.edu.hk,1,0.00016852039096730705,15,0,0,0,3.3232314287976203,0,0
chunwo.com,1,0.00016852039096730705,10,0,0,1,2.9219280948873623,0,0
aliyun.com,1,0.00016852039096730705,10,0,0,1,3.321928094887362,0,0
imobilebi.com,1,0.00016852039096730705,13,0,0,1,2.873140679513133,0,0
leon123.biz,1,0.00016852039096730705,11,0,1,0,3.459431618637298,0,1
networkdirecthk.com,1,0.00016852039096730705,19,0,0,1,3.6163485660751635,0,0
mitsui.com,1,0.00016852039096730705,10,0,0,1,2.9219280948873623,0,0
soletanche-bachy.com,1,0.00016852039096730705,20,0,0,1,3.6841837197791887,0,0
onshine.com.hk,1,0.00016852039096730705,14,0,0,0,3.2359263506290334,0,0
hkstar.com,1,0.00016852039096730705,10,0,0,1,3.321928094887362,0,0
alumni.ust.hk,1,0.00016852039096730705,13,0,0,0,3.3927474104487847,0,0
jantix.com.hk,1,0.00016852039096730705,13,0,0,0,3.546593564294939,1,1
aol.com,1,0.00016852039096730705,7,0,0,1,2.5216406363433186,0,0
